;blues;classical;country;disco;hiphop;jazz;metal;pop;reggae;rock
blues;-4.563272e-06;0.5316235;0.06419611;0.22067071;0.11556943;0.1815977;0.18791668;0.10153508;0.105780065;0.061010946
classical;0.5316235;-2.281636e-06;0.37609574;0.7842166;0.7241605;0.14459755;1.0;0.41403937;0.46081063;0.5632606
country;0.06419611;0.37609574;0.0;0.19207497;0.12057306;0.09860775;0.23255119;0.03695338;0.06775889;0.045010976
disco;0.22067071;0.7842166;0.19207497;0.0;0.099119976;0.4254042;0.08304927;0.14856873;0.13474886;0.10565572
hiphop;0.11556943;0.7241605;0.12057306;0.099119976;-4.563272e-06;0.3128511;0.108526014;0.082934044;0.121634014;0.06881642
jazz;0.1815977;0.14459755;0.09860775;0.4254042;0.3128511;-2.281636e-06;0.5311055;0.12986845;0.20184721;0.21212712
metal;0.18791668;1.0;0.23255119;0.08304927;0.108526014;0.5311055;0.0;0.21414067;0.1868637;0.10441451
pop;0.10153508;0.41403937;0.03695338;0.14856873;0.082934044;0.12986845;0.21414067;0.0;0.08716762;0.04594987
reggae;0.105780065;0.46081063;0.06775889;0.13474886;0.121634014;0.20184721;0.1868637;0.08716762;0.0;0.06673557
rock;0.061010946;0.5632606;0.045010976;0.10565572;0.06881642;0.21212712;0.10441451;0.04594987;0.06673557;-4.563272e-06
