;blues;classical;country;disco;hiphop;jazz;metal;pop;reggae;rock
blues;0.0;0.538838;0.09419781;0.19281465;0.2863056;0.13830663;0.35950166;0.33497584;0.15398423;0.12142131
classical;0.538838;0.0;0.4686321;0.7635952;1.0;0.28194255;0.8958327;0.8080549;0.7128045;0.5146072
country;0.09419781;0.4686321;0.0;0.15043987;0.2768065;0.124937706;0.3837478;0.19699466;0.13291381;0.074101195
disco;0.19281465;0.7635952;0.15043987;-1.0170354e-05;0.09817188;0.30237478;0.27743706;0.07766336;0.054472413;0.10627511
hiphop;0.2863056;1.0;0.2768065;0.09817188;2.5425884e-06;0.43367404;0.35761505;0.09991355;0.08714976;0.22592422
jazz;0.13830663;0.28194255;0.124937706;0.30237478;0.43367404;1.0170354e-05;0.52993643;0.36904144;0.2501856;0.18354945
metal;0.35950166;0.8958327;0.3837478;0.27743706;0.35761505;0.52993643;-5.085177e-06;0.41086704;0.40014747;0.16166794
pop;0.33497584;0.8080549;0.19699466;0.07766336;0.09991355;0.36904144;0.41086704;2.0340707e-05;0.09287567;0.18083905
reggae;0.15398423;0.7128045;0.13291381;0.054472413;0.08714976;0.2501856;0.40014747;0.09287567;5.085177e-06;0.15004832
rock;0.12142131;0.5146072;0.074101195;0.10627511;0.22592422;0.18354945;0.16166794;0.18083905;0.15004832;0.0
