;bassoon;cello;clarinet;contrabass;drums;electric_guitar;flute;harpsichord;piano;violin
bassoon;-1.3258353e-06;0.23447993;0.57976454;0.3782774;0.91686153;0.6342007;0.7442961;0.89462924;0.57951003;1.0
cello;0.23447993;0.0;0.4333453;0.15880656;0.72037935;0.54484737;0.5218627;0.73575175;0.61670035;0.53752345
clarinet;0.57976454;0.4333453;-5.3033414e-06;0.6264645;0.828421;0.595432;0.20158663;0.48980266;0.39965847;0.4174916
contrabass;0.3782774;0.15880656;0.6264645;1.3258353e-06;0.64850515;0.43081826;0.65869355;0.82365066;0.57287157;0.7753173
drums;0.91686153;0.72037935;0.828421;0.64850515;1.3258353e-06;0.38881114;0.89895475;0.91064334;0.8459433;0.9641872
electric_guitar;0.6342007;0.54484737;0.595432;0.43081826;0.38881114;-2.6516707e-06;0.76772296;0.7666046;0.4517744;0.9627626
flute;0.7442961;0.5218627;0.20158663;0.65869355;0.89895475;0.76772296;0.0;0.7180969;0.59140474;0.5005956
harpsichord;0.89462924;0.73575175;0.48980266;0.82365066;0.91064334;0.7666046;0.7180969;-9.280847e-06;0.62016875;0.6560319
piano;0.57951003;0.61670035;0.39965847;0.57287157;0.8459433;0.4517744;0.59140474;0.62016875;1.3258353e-06;0.9818712
violin;1.0;0.53752345;0.4174916;0.7753173;0.9641872;0.9627626;0.5005956;0.6560319;0.9818712;-3.977506e-06
