;bassoon;cello;clarinet;contrabass;drums;electric_guitar;flute;harpsichord;piano;violin
bassoon;0.0;0.19588046;0.34545007;0.28066322;0.7759494;0.4510912;0.55897963;0.69262975;0.4757618;0.71339923
cello;0.19588046;-2.3693258e-06;0.33073893;0.10809575;0.75240904;0.4561888;0.5102035;0.6683157;0.6159204;0.38344458
clarinet;0.34545007;0.33073893;7.107977e-06;0.44699225;0.8403477;0.55307883;0.1732984;0.47190335;0.42556053;0.3508687
contrabass;0.28066322;0.10809575;0.44699225;7.107977e-06;0.6489678;0.34139377;0.6234762;0.62634075;0.5316945;0.524391
drums;0.7759494;0.75240904;0.8403477;0.6489678;0.0;0.40632752;0.9708265;0.76879406;0.7325979;1.0
electric_guitar;0.4510912;0.4561888;0.55307883;0.34139377;0.40632752;4.7386516e-06;0.80253327;0.4839324;0.37418523;0.80085933
flute;0.55897963;0.5102035;0.1732984;0.6234762;0.9708265;0.80253327;0.0;0.702607;0.6413765;0.44177264
harpsichord;0.69262975;0.6683157;0.47190335;0.62634075;0.76879406;0.4839324;0.702607;5.9233143e-06;0.4387553;0.6376258
piano;0.4757618;0.6159204;0.42556053;0.5316945;0.7325979;0.37418523;0.6413765;0.4387553;0.0;0.9111408
violin;0.71339923;0.38344458;0.3508687;0.524391;1.0;0.80085933;0.44177264;0.6376258;0.9111408;4.7386516e-06
