;bassoon;cello;clarinet;contrabass;drums;electric_guitar;flute;harpsichord;piano;violin
bassoon;0.0;0.60213417;0.35467947;0.78184146;0.5897118;0.7039934;0.38994205;0.6380662;0.5003385;0.44659522
cello;0.60213417;-1.2583444e-06;0.36121404;0.18190879;0.36632606;0.4732602;0.73468566;1.0;0.4254997;0.57834953
clarinet;0.35467947;0.36121404;1.2583444e-06;0.3867106;0.34550363;0.43607548;0.28234795;0.49380833;0.10283316;0.24332857
contrabass;0.78184146;0.18190879;0.3867106;-1.2583444e-06;0.42505616;0.2682438;0.8710449;0.7027759;0.45163113;0.69408137
drums;0.5897118;0.36632606;0.34550363;0.42505616;1.2583444e-06;0.54451454;0.66054523;0.9819893;0.56738245;0.5498172
electric_guitar;0.7039934;0.4732602;0.43607548;0.2682438;0.54451454;2.5166887e-06;0.76286125;0.4478196;0.5314165;0.5681211
flute;0.38994205;0.73468566;0.28234795;0.8710449;0.66054523;0.76286125;-1.2583444e-06;0.5562436;0.31790686;0.27312616
harpsichord;0.6380662;1.0;0.49380833;0.7027759;0.9819893;0.4478196;0.5562436;3.145861e-06;0.45983553;0.5687893
piano;0.5003385;0.4254997;0.10283316;0.45163113;0.56738245;0.5314165;0.31790686;0.45983553;1.2583444e-06;0.29872593
violin;0.44659522;0.57834953;0.24332857;0.69408137;0.5498172;0.5681211;0.27312616;0.5687893;0.29872593;-1.2583444e-06
