;bassoon;cello;clarinet;contrabass;drums;electric_guitar;flute;harpsichord;piano;violin
bassoon;4.7142794e-06;0.19387002;0.34484836;0.2755072;0.76267844;0.44173267;0.5551618;0.6753076;0.46676552;0.70977956
cello;0.19387002;0.0;0.33168843;0.10754332;0.74976134;0.4533746;0.50903964;0.65496427;0.6125876;0.38068983
clarinet;0.34484836;0.33168843;1.1785698e-06;0.44554654;0.84186894;0.55222833;0.17201462;0.46595818;0.42721272;0.3493776
contrabass;0.2755072;0.10754332;0.44554654;-4.7142794e-06;0.64706546;0.33776397;0.617527;0.612445;0.5271649;0.5184941
drums;0.76267844;0.74976134;0.84186894;0.64706546;-2.3571397e-06;0.4050815;0.9657696;0.7619242;0.7312672;1.0
electric_guitar;0.44173267;0.4533746;0.55222833;0.33776397;0.4050815;-7.071419e-06;0.79658353;0.47530425;0.37529907;0.7947662
flute;0.5551618;0.50903964;0.17201462;0.617527;0.9657696;0.79658353;3.5357095e-06;0.69223064;0.6375544;0.4403561
harpsichord;0.6753076;0.65496427;0.46595818;0.612445;0.7619242;0.47530425;0.69223064;0.0;0.43321988;0.6325667
piano;0.46676552;0.6125876;0.42721272;0.5271649;0.7312672;0.37529907;0.6375544;0.43321988;0.0;0.9093279
violin;0.70977956;0.38068983;0.3493776;0.5184941;1.0;0.7947662;0.4403561;0.6325667;0.9093279;4.7142794e-06
