;blues;classical;country;disco;hiphop;jazz;metal;pop;reggae;rock
blues;0.99999994;0.971931;0.99663246;0.9884175;0.9939023;0.99041826;0.9901209;0.9946877;0.9944342;0.9967612
classical;0.971931;0.99999994;0.98014176;0.9586636;0.9617493;0.9923738;0.9473009;0.978106;0.97563213;0.9702525
country;0.99663246;0.98014176;0.99999976;0.9899422;0.9936497;0.99480057;0.9878069;0.99806094;0.9964042;0.99761724
disco;0.9884175;0.9586636;0.9899422;1.0000001;0.99477696;0.9776508;0.9956089;0.99225426;0.99297607;0.99446255
hiphop;0.9939023;0.9617493;0.9936497;0.99477696;1.0;0.98346823;0.99428093;0.9956549;0.99363226;0.9963357
jazz;0.99041826;0.9923738;0.99480057;0.9776508;0.98346823;0.9999999;0.9720689;0.9931257;0.98936284;0.98878866
metal;0.9901209;0.9473009;0.9878069;0.9956089;0.99428093;0.9720689;1.0000002;0.9888041;0.99023485;0.99451125
pop;0.9946877;0.978106;0.99806094;0.99225426;0.9956549;0.9931257;0.9888041;1.0000002;0.995459;0.99759936
reggae;0.9944342;0.97563213;0.9964042;0.99297607;0.99363226;0.98936284;0.99023485;0.995459;1.0;0.9965012
rock;0.9967612;0.9702525;0.99761724;0.99446255;0.9963357;0.98878866;0.99451125;0.99759936;0.9965012;0.99999976
