;blues;classical;country;disco;hiphop;jazz;metal;pop;reggae;rock
blues;0.99999976;0.96595365;0.99411964;0.99187505;0.9880455;0.9925392;0.9824769;0.9824207;0.9916937;0.99429345
classical;0.96595365;0.99999994;0.97368455;0.9606839;0.9466104;0.98158747;0.94794697;0.9581915;0.95948493;0.9701609
country;0.99411964;0.97368455;0.99999976;0.99299896;0.9863971;0.99547976;0.9791249;0.990032;0.9921919;0.9964149
disco;0.99187505;0.9606839;0.99299896;1.0;0.994965;0.9880277;0.9840388;0.9948108;0.99729383;0.9954413
hiphop;0.9880455;0.9466104;0.9863971;0.994965;1.0000001;0.98100936;0.9805519;0.99377584;0.99650407;0.9888159
jazz;0.9925392;0.98158747;0.99547976;0.9880277;0.98100936;0.9999999;0.97612613;0.9842237;0.9874172;0.9931689
metal;0.9824769;0.94794697;0.9791249;0.9840388;0.9805519;0.97612613;1.0000007;0.97463864;0.97689575;0.99103475
pop;0.9824207;0.9581915;0.990032;0.9948108;0.99377584;0.9842237;0.97463864;1.0;0.9948146;0.989749
reggae;0.9916937;0.95948493;0.9921919;0.99729383;0.99650407;0.9874172;0.97689575;0.9948146;1.0000004;0.991767
rock;0.99429345;0.9701609;0.9964149;0.9954413;0.9888159;0.9931689;0.99103475;0.989749;0.991767;1.0000004
