;blues;classical;country;disco;hiphop;jazz;metal;pop;reggae;rock
blues;4.4656363e-06;0.6376962;0.11014046;0.15218219;0.22391036;0.13974205;0.328212;0.32926476;0.15557942;0.10688501
classical;0.6376962;1.1164091e-06;0.49289462;0.7364002;1.0;0.34487104;0.97496563;0.78308284;0.7588568;0.5588934
country;0.11014046;0.49289462;4.4656363e-06;0.13113117;0.25478578;0.08466512;0.3909955;0.18670267;0.14624736;0.06714977
disco;0.15218219;0.7364002;0.13113117;0.0;0.094306424;0.22424416;0.29895762;0.097194575;0.050687205;0.0853852
hiphop;0.22391036;1.0;0.25478578;0.094306424;-2.2328181e-06;0.3556991;0.36426753;0.116579905;0.06547963;0.20948076
jazz;0.13974205;0.34487104;0.08466512;0.22424416;0.3556991;2.2328181e-06;0.44716313;0.2954934;0.23567842;0.1279483
metal;0.328212;0.97496563;0.3909955;0.29895762;0.36426753;0.44716313;-1.3396909e-05;0.47502425;0.43274808;0.16792132
pop;0.32926476;0.78308284;0.18670267;0.097194575;0.116579905;0.2954934;0.47502425;0.0;0.09712424;0.19200338
reggae;0.15557942;0.7588568;0.14624736;0.050687205;0.06547963;0.23567842;0.43274808;0.09712424;-6.6984544e-06;0.15420625
rock;0.10688501;0.5588934;0.06714977;0.0853852;0.20948076;0.1279483;0.16792132;0.19200338;0.15420625;-6.6984544e-06
