;blues;classical;country;disco;hiphop;jazz;metal;pop;reggae;rock
blues;3.6294348e-06;0.55818164;0.11771587;0.1598512;0.2566119;0.12767988;0.39113814;0.37410277;0.15969391;0.12154009
classical;0.55818164;-4.8392462e-06;0.4160675;0.6628086;0.98257387;0.30519918;1.0;0.75944227;0.6791338;0.48731574
country;0.11771587;0.4160675;-9.6784925e-06;0.12756616;0.27277744;0.087601244;0.47096393;0.19942898;0.13278529;0.07747633
disco;0.1598512;0.6628086;0.12756616;-2.4196231e-06;0.09949006;0.2233651;0.314182;0.10327798;0.05083749;0.07633306
hiphop;0.2566119;0.98257387;0.27277744;0.09949006;1.33079275e-05;0.37058222;0.39987418;0.13046971;0.08199256;0.21974291
jazz;0.12767988;0.30519918;0.087601244;0.2233651;0.37058222;-2.4196231e-06;0.559971;0.32627046;0.20833923;0.15141518
metal;0.39113814;1.0;0.47096393;0.314182;0.39987418;0.559971;-4.8392462e-06;0.53527147;0.48777303;0.20489126
pop;0.37410277;0.75944227;0.19942898;0.10327798;0.13046971;0.32627046;0.53527147;-4.8392462e-06;0.10334574;0.20521186
reggae;0.15969391;0.6791338;0.13278529;0.05083749;0.08199256;0.20833923;0.48777303;0.10334574;-1.6937362e-05;0.15193056
rock;0.12154009;0.48731574;0.07747633;0.07633306;0.21974291;0.15141518;0.20489126;0.20521186;0.15193056;1.2098116e-06
