;blues;classical;country;disco;hiphop;jazz;metal;pop;reggae;rock
blues;1.1310375e-06;0.5326282;0.06390136;0.21978547;0.1157074;0.18181993;0.18746267;0.10080484;0.10561515;0.061458316
classical;0.5326282;1.1310375e-06;0.37682325;0.7843858;0.725832;0.14471172;1.0;0.4154527;0.46239638;0.56447816
country;0.06390136;0.37682325;4.52415e-06;0.19085352;0.120500736;0.09866266;0.23137182;0.036794912;0.06823323;0.045214355
disco;0.21978547;0.7843858;0.19085352;-2.262075e-06;0.09911055;0.42409042;0.08332353;0.14698058;0.13328372;0.105076775
hiphop;0.1157074;0.725832;0.120500736;0.09911055;0.0;0.31370115;0.10852305;0.0824515;0.12083213;0.06953279
jazz;0.18181993;0.14471172;0.09866266;0.42409042;0.31370115;2.262075e-06;0.53001094;0.13044481;0.20184721;0.2127425
metal;0.18746267;1.0;0.23137182;0.08332353;0.10852305;0.53001094;-4.52415e-06;0.21244955;0.18530013;0.10415272
pop;0.10080484;0.4154527;0.036794912;0.14698058;0.0824515;0.13044481;0.21244955;-4.52415e-06;0.08616809;0.045553666
reggae;0.10561515;0.46239638;0.06823323;0.13328372;0.12083213;0.20184721;0.18530013;0.08616809;0.0;0.0663919
rock;0.061458316;0.56447816;0.045214355;0.105076775;0.06953279;0.2127425;0.10415272;0.045553666;0.0663919;4.52415e-06
